,neurogenesis_pathway,count,dataset
0,Lateral ependymal,157,DCBBL1_1year1wkNJ_ASO_SAL_4_18_2023_iset1_revised
1,Stage 1,168,DCBBL1_1year1wkNJ_ASO_SAL_4_18_2023_iset1_revised
2,Stage 2,12,DCBBL1_1year1wkNJ_ASO_SAL_4_18_2023_iset1_revised
3,Stage 3,18,DCBBL1_1year1wkNJ_ASO_SAL_4_18_2023_iset1_revised
