,neurogenesis_pathway,count,dataset
0,Lateral ependymal,390,DCBBL1_3_2_2023_iset0_revised
1,Stage 1,481,DCBBL1_3_2_2023_iset0_revised
2,Stage 2,7,DCBBL1_3_2_2023_iset0_revised
3,Stage 3,5,DCBBL1_3_2_2023_iset0_revised
