,com_celltype,count,dataset
0,Lateral ependymal,253,cbm5_combined_neuropath_Mu12.2
1,Stage 3,4,cbm5_combined_neuropath_Mu12.2
2,Stage 2,2,cbm5_combined_neuropath_Mu12.2
3,Stage 1,38,cbm5_combined_neuropath_Mu12.2
