,neurogenesis_pathway,count,dataset
0,Lateral ependymal,376,DCBBL1_3_2_2023_iset1_revised
1,Stage 1,270,DCBBL1_3_2_2023_iset1_revised
2,Stage 2,2,DCBBL1_3_2_2023_iset1_revised
3,Stage 3,15,DCBBL1_3_2_2023_iset1_revised
