,com_celltype,count,dataset
0,Lateral ependymal,148,cbm5_combined_neuropath_Mu15.1
1,Stage 3,19,cbm5_combined_neuropath_Mu15.1
2,Stage 2,4,cbm5_combined_neuropath_Mu15.1
3,Stage 1,34,cbm5_combined_neuropath_Mu15.1
