,neurogenesis_pathway,count,dataset
0,Lateral ependymal,60,adatasvz_neuro_noastro_ptb_injected_1week_revised
1,Stage 1,97,adatasvz_neuro_noastro_ptb_injected_1week_revised
2,Stage 2,34,adatasvz_neuro_noastro_ptb_injected_1week_revised
3,Stage 3,26,adatasvz_neuro_noastro_ptb_injected_1week_revised
