,neurogenesis_pathway,count,dataset
0,Lateral ependymal,115,adatasvz_neuro_noastro_ptb_injected_3_31_iset0_revised
1,Stage 1,23,adatasvz_neuro_noastro_ptb_injected_3_31_iset0_revised
2,Stage 2,21,adatasvz_neuro_noastro_ptb_injected_3_31_iset0_revised
3,Stage 3,26,adatasvz_neuro_noastro_ptb_injected_3_31_iset0_revised
