,neurogenesis_pathway,count,dataset
0,Lateral ependymal,187,adatasvz_neuro_noastro_ptb_injected_4_18_iset2_revised
1,Stage 1,36,adatasvz_neuro_noastro_ptb_injected_4_18_iset2_revised
2,Stage 2,32,adatasvz_neuro_noastro_ptb_injected_4_18_iset2_revised
3,Stage 3,44,adatasvz_neuro_noastro_ptb_injected_4_18_iset2_revised
