,clusters,count,dataset
0,Ependymal,462,year1s_labeled_edu_Control
1,Progenitor,118,year1s_labeled_edu_Control
2,Stage 2,22,year1s_labeled_edu_Control
3,Stage 3,120,year1s_labeled_edu_Control
