,com_celltype,count,dataset
0,Lateral ependymal,253,cbm5_combined_neuropath_Mu12.1
1,Stage 3,4,cbm5_combined_neuropath_Mu12.1
2,Stage 2,1,cbm5_combined_neuropath_Mu12.1
3,Stage 1,48,cbm5_combined_neuropath_Mu12.1
