,neurogenesis_pathway,count,dataset
0,Lateral ependymal,207,1year_aso_labelled_revised
1,Stage 1,324,1year_aso_labelled_revised
2,Stage 2,158,1year_aso_labelled_revised
3,Stage 3,220,1year_aso_labelled_revised
