,neurogenesis_pathway,count,dataset
0,Lateral ependymal,100,DCBBL1_1year1wkNJ_ASO_SAL_3_31_2023_iset1_revised
1,Stage 1,107,DCBBL1_1year1wkNJ_ASO_SAL_3_31_2023_iset1_revised
2,Stage 2,11,DCBBL1_1year1wkNJ_ASO_SAL_3_31_2023_iset1_revised
3,Stage 3,6,DCBBL1_1year1wkNJ_ASO_SAL_3_31_2023_iset1_revised
