,neurogenesis_pathway,count,dataset
0,Lateral ependymal,253,1year_control_labelled_revised
1,Stage 1,333,1year_control_labelled_revised
2,Stage 2,115,1year_control_labelled_revised
3,Stage 3,167,1year_control_labelled_revised
