,neurogenesis_pathway,count,dataset
0,Lateral ependymal,1,1year_aso_labelled_revised
1,Stage 1,12,1year_aso_labelled_revised
2,Stage 2,3,1year_aso_labelled_revised
3,Stage 3,3,1year_aso_labelled_revised
